gtdb_type_designation	Type material desingation based on literature	TEXT	metadata_type_material
gtdb_type_designation_sources	Website(s) used to select gtdb_type_designation	TEXT	metadata_type_material
lpsn_type_designation	Type material designation based on LPSN website	TEXT	metadata_type_material
dsmz_type_designation	Type material designation based on DSMZ website	TEXT	metadata_type_material
straininfo_type_designation	Type material designation based on Straininfo website	TEXT	metadata_type_material
lpsn_priority_year	Priority year parsed from LPSN	INT	metadata_type_material
dsmz_priority_year	Priority year parsed from DSMZ	INT	metadata_type_material
straininfo_priority_year	Priority year parsed from Straininfo	INT	metadata_type_material
gtdb_type_species_of_genus	Is species name the type species of the genus	BOOLEAN	metadata_type_material
